                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.94687,                 0.9023,                 1.2923,                 1.0597,                 1.1034,                 1.3218,                0.61806,                0.39822,                0.45063,                0.30868,                 1.4052,                 1.8623,                 1.6871,                  1.488,                 2.3012,                 1.7128,             0.00091919,             0.00091919,             0.00091919
                     61,                0.94627,                 0.8904,                  1.297,                 1.0525,                 1.0909,                 1.3334,                0.59099,                0.39921,                0.43524,                0.28875,                 1.3689,                 1.9105,                 1.6663,                 1.4583,                 2.3247,                 1.6863,              0.0009063,              0.0009063,              0.0009063
                     62,                0.96101,                0.91093,                    1.3,                 1.0772,                 1.1102,                 1.3358,                0.57755,                0.42095,                0.42649,                 0.2888,                 1.3947,                 1.9003,                 1.6851,                 1.4445,                 2.2445,                 1.7005,             0.00089341,             0.00089341,             0.00089341
                     63,                0.93733,                0.87281,                 1.2788,                 1.0534,                 1.0646,                 1.3133,                0.54826,                0.45973,                 0.4576,                0.31566,                 1.4118,                 1.7778,                 1.7178,                 1.4881,                 2.1992,                 1.7402,             0.00088051,             0.00088051,             0.00088051
                     64,                0.93496,                0.85349,                 1.2651,                 1.0683,                 1.0413,                 1.2982,                0.59755,                0.46524,                0.48232,                 0.3416,                  1.365,                 1.8711,                 1.6691,                 1.4645,                 2.2481,                 1.7335,             0.00086762,             0.00086762,             0.00086762
                     65,                 0.9267,                0.88781,                 1.2741,                 1.0405,                  1.065,                 1.3132,                0.63011,                0.43956,                0.49244,                0.34264,                 1.3511,                 1.6894,                 1.6525,                 1.4521,                 1.9668,                 1.6868,             0.00085473,             0.00085473,             0.00085473
                     66,                0.92765,                0.86013,                 1.2661,                 1.0386,                  1.051,                 1.3008,                 0.6278,                0.45713,                0.44561,                0.31938,                 1.3613,                 1.8471,                 1.6679,                 1.4629,                 2.2968,                 1.7145,             0.00084184,             0.00084184,             0.00084184
                     67,                0.93559,                 0.8597,                 1.2752,                 1.0516,                 1.0364,                 1.3093,                0.51735,                0.50889,                0.46728,                 0.3266,                 1.3317,                 1.8615,                 1.6351,                 1.4468,                 2.1974,                 1.6592,             0.00082894,             0.00082894,             0.00082894
                     68,                0.91361,                0.84969,                 1.2732,                 1.0264,                 1.0391,                 1.3151,                0.62103,                0.40292,                0.42827,                0.29424,                  1.423,                 1.9531,                 1.7064,                 1.4571,                 2.4327,                 1.7317,             0.00081605,             0.00081605,             0.00081605
                     69,                0.91394,                0.82999,                 1.2463,                 1.0382,                 1.0105,                 1.2834,                0.68193,                0.44556,                0.49946,                0.36175,                 1.2631,                 1.7427,                 1.5902,                 1.3704,                 2.2032,                 1.6521,             0.00080316,             0.00080316,             0.00080316
                     70,                0.90145,                0.83438,                 1.2639,                 1.0176,                 1.0081,                 1.2991,                0.53454,                0.47123,                0.45618,                0.32116,                  1.328,                 1.8163,                  1.642,                 1.3849,                 2.2108,                 1.6842,             0.00079026,             0.00079026,             0.00079026
                     71,                0.89481,                0.81716,                 1.2542,                 1.0146,                0.99641,                 1.2918,                0.52206,                0.42309,                0.40474,                0.30434,                 1.3255,                  1.977,                 1.6657,                  1.459,                 2.3817,                  1.712,             0.00077737,             0.00077737,             0.00077737
                     72,                0.88336,                0.80543,                 1.2557,                0.99439,                0.98376,                 1.2979,                0.51409,                0.40967,                0.39962,                0.30062,                  1.396,                 1.9519,                 1.6899,                 1.4728,                 2.4418,                 1.7165,             0.00076448,             0.00076448,             0.00076448
                     73,                0.89577,                0.81277,                 1.2464,                0.99273,                0.98067,                 1.2772,                0.57761,                0.43289,                 0.4467,                0.32083,                 1.3249,                 1.7926,                 1.6331,                 1.4429,                 2.2722,                 1.7058,             0.00075158,             0.00075158,             0.00075158
                     74,                0.90082,                0.82504,                 1.2645,                 1.0183,                0.99641,                 1.3074,                0.52418,                 0.4846,                0.44498,                0.31781,                 1.3065,                 1.9312,                 1.6276,                 1.4372,                 2.3719,                 1.6674,             0.00073869,             0.00073869,             0.00073869
                     75,                0.87092,                0.80709,                 1.2424,                0.98051,                0.99376,                 1.2828,                0.56694,                0.40292,                0.42123,                0.30143,                 1.3837,                 1.9048,                 1.6486,                 1.5084,                 2.3459,                 1.7239,              0.0007258,              0.0007258,              0.0007258
