                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.0431,                0.75256,                 1.1163,                 1.4275,                 1.1878,                  1.118,                0.46491,                0.37406,                0.33488,                  0.218,                 1.4207,                 1.4235,                 1.3569,                 1.8082,                 2.1675,                 1.3092,             0.00067422,             0.00067422,             0.00067422
                     80,                 1.0419,                0.76599,                 1.1179,                 1.4358,                 1.2284,                 1.1236,                0.53089,                  0.398,                 0.3702,                0.23558,                 1.4138,                 1.2969,                 1.3717,                  1.768,                 2.0334,                 1.3089,             0.00066133,             0.00066133,             0.00066133
                     81,                 1.0539,                0.76682,                 1.1231,                 1.4526,                  1.221,                 1.1261,                0.54299,                0.35202,                0.33417,                0.21023,                 1.4093,                 1.3945,                 1.3541,                 1.7846,                 2.1158,                 1.3116,             0.00064844,             0.00064844,             0.00064844
                     82,                 1.0509,                 0.7741,                 1.1237,                 1.4475,                 1.2569,                 1.1304,                0.46944,                0.38389,                0.33571,                0.21486,                 1.4549,                 1.3894,                  1.394,                 1.8123,                 2.0718,                  1.326,             0.00063554,             0.00063554,             0.00063554
                     83,                 1.0325,                0.75075,                 1.1024,                 1.4538,                 1.2168,                 1.1077,                0.55754,                0.35274,                0.34427,                  0.219,                 1.3985,                  1.418,                 1.3412,                 1.7774,                 2.1066,                 1.2865,             0.00062265,             0.00062265,             0.00062265
                     84,                 1.0368,                0.75642,                 1.1104,                 1.4352,                  1.222,                 1.1217,                0.51422,                0.36702,                0.32133,                0.20576,                 1.4078,                 1.4497,                 1.3578,                 1.7789,                 2.1667,                 1.2799,             0.00060976,             0.00060976,             0.00060976
                     85,                  1.021,                0.75203,                 1.1103,                 1.4307,                 1.2044,                 1.1147,                 0.4282,                0.35812,                0.31003,                 0.2077,                 1.4466,                 1.4685,                 1.3863,                 1.8269,                 2.2125,                 1.3059,             0.00059686,             0.00059686,             0.00059686
                     86,                 1.0314,                0.74306,                 1.1103,                 1.4242,                 1.1932,                 1.1185,                0.46012,                0.34649,                0.31461,                0.21039,                  1.386,                 1.5375,                 1.3268,                 1.7639,                 2.2125,                 1.2743,             0.00058397,             0.00058397,             0.00058397
                     87,                 1.0212,                0.74423,                 1.1091,                 1.4173,                 1.1972,                 1.1183,                0.60978,                0.30237,                0.31532,                 0.2052,                 1.4686,                 1.4425,                 1.3991,                 1.8256,                 2.1734,                 1.3238,             0.00057108,             0.00057108,             0.00057108
                     88,                 1.0138,                0.72121,                 1.1012,                 1.4022,                 1.1599,                 1.1122,                0.44483,                0.34594,                0.30945,                0.19727,                 1.4502,                  1.513,                 1.3893,                  1.798,                 2.2069,                 1.3113,             0.00055818,             0.00055818,             0.00055818
                     89,                 1.0171,                0.73131,                 1.0975,                 1.4241,                 1.1873,                 1.1119,                0.59232,                0.36196,                0.34155,                0.21408,                 1.4249,                  1.419,                 1.3947,                 1.7788,                 2.1118,                 1.3282,             0.00054529,             0.00054529,             0.00054529
                     90,                0.99413,                0.71028,                 1.0945,                 1.3824,                 1.1442,                  1.104,                0.49166,                 0.3557,                0.31648,                0.20965,                 1.4088,                 1.4829,                 1.3704,                 1.7997,                 2.1653,                 1.3269,              0.0005324,              0.0005324,              0.0005324
                     91,                0.99228,                0.71109,                 1.0885,                 1.3967,                 1.1575,                 1.0989,                0.51964,                0.34625,                0.32054,                0.20671,                 1.4165,                 1.5082,                 1.3917,                  1.783,                 2.1762,                 1.3288,              0.0005195,              0.0005195,              0.0005195
                     92,                0.99343,                0.72169,                 1.0927,                 1.3861,                 1.1695,                 1.1024,                0.48682,                0.34159,                0.30421,                0.19714,                 1.4542,                 1.4975,                 1.4062,                 1.8412,                 2.1846,                 1.3454,             0.00050661,             0.00050661,             0.00050661
                     93,                0.98709,                0.71346,                  1.088,                 1.3976,                 1.1618,                  1.099,                0.52823,                0.34395,                0.31603,                0.20894,                 1.4171,                 1.4948,                 1.3782,                 1.7847,                 2.2201,                 1.3261,             0.00049372,             0.00049372,             0.00049372
                     94,                0.98446,                 0.7062,                 1.0851,                 1.4029,                 1.1525,                 1.0969,                0.52121,                0.36564,                0.33044,                0.21391,                 1.4247,                 1.4892,                 1.3853,                 1.7879,                 2.1765,                 1.2993,             0.00048083,             0.00048083,             0.00048083
                     95,                0.97267,                0.69585,                 1.0778,                  1.356,                 1.1151,                  1.088,                0.48118,                0.37551,                0.33196,                0.21523,                 1.4267,                 1.4437,                 1.4131,                 1.7886,                 2.1768,                 1.3284,             0.00046793,             0.00046793,             0.00046793
                     96,                0.97914,                0.71226,                 1.0802,                 1.3984,                 1.1878,                 1.0912,                0.46206,                0.37205,                0.32274,                0.20571,                 1.4158,                 1.4974,                 1.3872,                 1.7946,                 2.1936,                 1.3327,             0.00045504,             0.00045504,             0.00045504
                     97,                0.97407,                0.68876,                 1.0812,                 1.3707,                  1.124,                 1.0965,                0.43199,                0.34435,                0.31043,                0.20056,                  1.425,                 1.5412,                 1.3861,                 1.7898,                  2.262,                 1.3129,             0.00044215,             0.00044215,             0.00044215
                     98,                0.95666,                0.66859,                 1.0658,                 1.3645,                   1.11,                 1.0839,                0.54279,                0.34317,                0.32866,                0.21231,                 1.3969,                 1.4971,                 1.3654,                 1.7619,                 2.2052,                 1.2875,             0.00042925,             0.00042925,             0.00042925
                     99,                0.95645,                0.66795,                 1.0665,                 1.3707,                 1.1049,                 1.0792,                0.50468,                0.36581,                0.32922,                0.21477,                 1.3952,                 1.4937,                 1.3734,                 1.7647,                 2.1816,                 1.3006,             0.00041636,             0.00041636,             0.00041636
